project_id,verdict,n_delivery_files,n_evaluations,matched_app_file,app_status,terminated,app_fte,app_months,app_pm,n_app_repos,ks_per_pm,scope_flag,repo_url,planned_pm_census,commit_source,equivalent_sloc
subdao-network_polkasign,DELIVERED,1,1,SubDAO_Network.md,,,4.0,2.0,8.0,0,5.33,,https://github.com/SubDAO-Network/polkasign-contract,8.00,cutoff,42.6231
subdex,DELIVERED,1,1,subdex.md,,,2.0,1.84,3.68,1,0.0,verify-frag?,https://github.com/subdarkdex/pallet-subdex,,cutoff,0.0067
subquery,DELIVERED,1,2,subquery.md,,,2.0,1.5,3.0,2,0.9,,https://github.com/OnFinality-io/subql,3.00,cutoff,2.7026
Tokenguard - Milestone 1 & 2,DELIVERED,1,2,Tokenguard.md,,,1.5,2.0,3.0,0,,,https://github.com/tokenguardio/dashboard-creator-client,3.00,cutoff,
TreasuryTracker,DELIVERED,1,1,TreasuryTracker.md,,,1.25,1.0,1.25,2,,,https://github.com/stake-plus/treasury-tracker,1.25,cutoff,
unified_collator_node_deployment,DELIVERED,1,0,unified_collator_node_deployment.md,,,1.5,2.5,3.75,0,,,https://github.com/for-parity-with-love/unified-collator-node-deployment,,cutoff,
vera_defi_phase,DELIVERED,1,0,vera_defi.md,,,1.5,1.84,2.76,1,,,https://github.com/veradefi/defi,,,
Web3Box,DELIVERED,1,1,Web3Box.md,,,2.0,1.38,2.76,0,,,https://github.com/web3box-labs/apps,,cutoff,
web3-compatible-api,DELIVERED,1,1,web3-compatible-api.md,,,2.0,1.38,2.76,1,,,https://github.com/PureStake/moonbeam,,cutoff,
Xcavate,DELIVERED,1,1,Xcavate.md,,,4.0,2.0,8.0,0,,,https://github.com/XcavateBlockchain/MVP_Lending_Pool,8.00,cutoff,
xNFT,DELIVERED,1,0,xNFT.md,,,2.0,1.38,2.76,1,,,https://github.com/antiers-solutions/xNFT,6.00,cutoff,
yieldscan_phase,DELIVERED,1,1,yieldscan_phase_2.md,,,3.0,1.5,4.5,0,,,https://github.com/yieldscan/yieldscan-frontend,4.50,cutoff,
