network,proposal_type,post_id,title,requested_dot,proposer,planned_fte,planned_duration_months,team_size,documented_pm_explicit,sum_milestone_duration_months,n_github_repos,github_repos,url,status
polkadot,treasury_proposals,1746,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1745,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1744,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1743,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1742,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1741,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1740,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1739,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1738,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1737,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1736,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1735,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1734,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1733,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1732,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1731,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1730,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1729,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1728,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1727,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1726,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1725,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1724,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1723,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1722,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1721,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1720,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1719,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1718,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1717,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1716,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1715,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1714,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1713,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1712,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1711,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1710,,,,,,,,,,,,NO_DETAIL
