project_id,project_name,repo_url,commit_sha,cutoff_date,since_date,subdir,planned_fte,planned_duration_months,planned_pm,cost_usd,application_url,notes
ces_data_store,ces_data_store,https://github.com/CESSProject/data-store-pallet,,2022-06-25,,,2,3,6.00,9000,github.com/w3f/Grants-Program/blob/master/applications/ces_data_store.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
CESS,CESS,https://github.com/Cumulus2021/cess,,2022-01-15,,,2,4,8.00,8000,github.com/w3f/Grants-Program/blob/master/applications/CESS.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
chainviz,chainviz,https://github.com/helikon-labs/chainviz,,2023-09-19,,,0.2,8,1.60,22000,github.com/w3f/Grants-Program/blob/master/applications/chainviz.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
choko-wallet,choko-wallet,https://github.com/choko-wallet/wallet-app,,2022-11-15,,,5,3,15.00,36000,github.com/w3f/Grants-Program/blob/master/applications/choko_wallet.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
CILA-omnichain-infrastructure,CILA-omnichain-infrastructure,https://github.com/Collective-Intelligence-Labs/cila-substrate,,2023-08-14,,,2,3,6.00,30000,github.com/w3f/Grants-Program/blob/master/applications/CILA-omnichain-infrastructure.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
clover_january21,clover_january21,https://github.com/clover-network/clover,,2021-02-02,,,11.5,3,34.50,0,github.com/w3f/Grants-Program/blob/master/applications/clover_network.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Cogency,Cogency,https://github.com/CogencyWeb3/Web3MediaPilot,,2023-03-14,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
CoinFabrik_On_Ink_Integration_Tests,CoinFabrik_On_Ink_Integration_Tests,https://github.com/CoinFabrik/on-ink-integration-tests,,2023-12-06,,,4,,,30000,github.com/w3f/Grants-Program/blob/master/applications/CoinFabrik_On_Ink_Integration_Tests_2.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Contract_wizard,Contract_wizard,https://github.com/protofire/polkadot-contract-wizard,,2023-11-24,,,2.5,3,7.50,52500,github.com/w3f/Grants-Program/blob/master/applications/Contract_wizard.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
CoongWallet,CoongWallet,https://github.com/CoongCrafts/coong-wallet,,2023-06-15,,,1.5,5,7.50,30000,github.com/w3f/Grants-Program/blob/master/applications/coong_wallet.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
CosmWasmVM_CoreProduct,CosmWasmVM_CoreProduct,https://github.com/CosmWasm/cosmwasm,,2023-09-13,,,1,,,29700,github.com/w3f/Grants-Program/blob/master/applications/CosmWasmVM-CoreProduct.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
c++polkadot-light-client,c++polkadot-light-client,https://github.com/eqlabs/polkadot-light-client,,2022-09-26,,,1,,,34000,github.com/w3f/Grants-Program/blob/master/applications/c++polkadot-light-client.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
create-substrate-app,create-substrate-app,https://github.com/philoniare/create-substrate-app,,2024-03-05,,,1,1,1.00,4550,github.com/w3f/Grants-Program/blob/master/applications/create-substrate-app.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
crossbow,crossbow,https://github.com/dodorare/crossbow,7da4f92d7b1cc0ad2fbf6ed7f4765d8c473ac04e,2022-09-14,,,3.5,5.0,17.50,40000,github.com/w3f/Grants-Program/blob/master/applications/crossbow.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
cryptex,cryptex,https://github.com/ideal-lab5/smoldot,,2023-10-19,,,1.5,3,4.50,30000,github.com/w3f/Grants-Program/blob/master/applications/cryptex.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
cryptolab-staking-reward-collector-front-end,cryptolab-staking-reward-collector-front-end,https://github.com/cryptolab-network/chain-data-collector,,2021-06-29,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
cScale,cScale,https://github.com/MatthewDarnell/cScale,,2021-11-23,,,,3.5,,12500,github.com/w3f/Grants-Program/blob/master/applications/scale-codec-comparator.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
curve_amm,curve_amm,https://github.com/equilibrium-eosdt/equilibrium-curve-amm,,2021-05-20,,,3,,,30000,github.com/w3f/Grants-Program/blob/master/applications/curve_amm.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
cyborg,cyborg,https://github.com/Cyborg-Network/cyborg-parachain,9685a55711b2e1ec63fdbc6603965e7b3784f8d6,2024-08-10,,,2,2,4.00,10000,github.com/w3f/Grants-Program/blob/master/applications/Cyborg.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
cyclops,cyclops,https://github.com/ArthurHoeke/cyclops,,2023-04-16,,,1,3,3.00,26000,github.com/w3f/Grants-Program/blob/master/applications/cyclops.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
da_comparative_study,da_comparative_study,https://github.com/Chainscore/DA-Research,,2025-11-11,,,2,4,8.00,,github.com/w3f/Grants-Program/blob/master/applications/da_comparative_study.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Dante_Network,Dante_Network,https://github.com/dantenetwork/protocol-stack-for-ink,,2022-11-18,,,3,6,18.00,30000,github.com/w3f/Grants-Program/blob/master/applications/Dante_Network.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
dao-entrance-phase,dao-entrance-phase,https://github.com/dao-entrance/dao-entrance-node,,2023-03-31,,,1,4,4.00,6000,github.com/w3f/Grants-Program/blob/master/applications/dao-entrance-phase-1.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
daos,daos,https://github.com/daos-org/daos,,2022-11-30,,,6,2,12.00,8,github.com/w3f/Grants-Program/blob/master/applications/daos.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
DAOsign,DAOsign,https://github.com/DAOsign/polkadot-smart-contracts,,2024-11-18,,,2,2,4.00,48100,github.com/w3f/Grants-Program/blob/master/applications/DAOsign.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
dapp_wallet_integration_native_mobile_libraries,dapp_wallet_integration_native_mobile_libraries,https://github.com/tesseract-one/Tesseract.android,,2024-01-30,,,2,,,,github.com/w3f/Grants-Program/blob/master/applications/dapp_wallet_integration_native_mobile_libraries.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
dart-scale-codec,dart-scale-codec,https://github.com/nbltrust/dart-scale-codec,,2020-11-18,,,5.3,5,26.50,1,github.com/w3f/Grants-Program/blob/master/applications/Polkadot-Dart.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Datagen_Project,Datagen_Project,https://github.com/Datagen-Project/Datagen-Substrate-Grant,,2022-10-22,,,2,5,10.00,44000,github.com/w3f/Grants-Program/blob/master/applications/Datagen_Project.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
data_platform_with_deep_indexed_data_and_staking_reports,data_platform_with_deep_indexed_data_and_staking_reports,https://github.com/p2p-org/polkadot-grant,,2023-10-25,,,200,1.5,300.00,20000,github.com/w3f/Grants-Program/blob/master/applications/data_platform_with_deep_indexed_data_and_staking_reports.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
datdot,datdot,https://github.com/playproject-io/datdot-service,,2022-03-19,,,4,,,42880,github.com/w3f/Grants-Program/blob/master/applications/project_aurras_mvp_phase_2.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
dauth_network,dauth_network,https://github.com/DAuth-Network/instant-proof,,2024-02-05,,,3,8,24.00,27000,github.com/w3f/Grants-Program/blob/master/applications/dauth_network.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Decentralised_Security_Marketplace,Decentralised_Security_Marketplace,https://github.com/ParthChaudhary31/Security_Marketplace_Smartcontract,,2023-09-08,,,4,,,29920,github.com/w3f/Grants-Program/blob/master/applications/Security_Marketplace.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Decentralized_Threshold_Signing_Service,Decentralized_Threshold_Signing_Service,https://github.com/Fiono11/decentralized_threshold_signing_service,,2025-11-27,,,1,3,3.00,30000,github.com/w3f/Grants-Program/blob/master/applications/DecentralizedThresholdSigningService.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
decentralml,decentralml,https://github.com/livetreetech/DecentralML,,2023-12-19,,,2.5,2,5.00,30000,github.com/w3f/Grants-Program/blob/master/applications/decentral_ml.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
deeper_network,deeper_network,https://github.com/deeper-chain/deeper-chain,,2023-01-18,,,5,1,5.00,20000,github.com/w3f/Grants-Program/blob/master/applications/deeper_network.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
deip,deip,https://github.com/DEIPworld/deip-polkadot,,2021-05-20,,,4.5,2,9.00,1,github.com/w3f/Grants-Program/blob/master/applications/deip.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Deitos_Network,Deitos_Network,https://github.com/Deitos-Network/deitos-ip,,2024-03-13,,,3,,,30,github.com/w3f/Grants-Program/blob/master/applications/Deitos_Network.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
delightfuldot,delightfuldot,https://github.com/CoongCrafts/delightfuldot,,2024-03-21,,,2,4.5,9.00,30000,github.com/w3f/Grants-Program/blob/master/applications/delightfuldot.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
delmonicos,delmonicos,https://github.com/Delmonicos/charger-node,,2022-02-23,,,1,3,3.00,29,github.com/w3f/Grants-Program/blob/master/applications/delmonicos.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
democratic-governance,democratic-governance,https://github.com/encointer/pallets,,2024-01-18,,,,,,5200,github.com/w3f/Grants-Program/blob/master/applications/ISO20022-Implementation-POC.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
DIA_Bridgestate,DIA_Bridgestate,https://github.com/diadata-org/bridgestate-ocw,,2023-08-07,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
Diffy_messenger_st1_ms1,Diffy_messenger_st1_ms1,https://github.com/Belsoft-rs/diffychat-pallet,,2023-04-17,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
Diffy_messenger_st1_ms2,Diffy_messenger_st1_ms2,https://github.com/Belsoft-rs/diffychat-pallet,,2023-07-07,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
dipole-oracle-millestone,dipole-oracle-millestone,https://github.com/DipoleTech/dipole-oracle,,2020-07-13,,,1.25,,,1,github.com/w3f/Grants-Program/blob/master/applications/DipoleOracle.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
distributed_cryptography_for_polkadot_wallets,distributed_cryptography_for_polkadot_wallets,https://github.com/perun-network/polkadot-wallet-grant,,2025-05-10,,,1.25,7.25,9.06,87000,github.com/w3f/Grants-Program/blob/master/applications/distributed_cryptography_for_polkadot_wallets.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
distributedKeyManagement,distributedKeyManagement,https://github.com/KryptikApp/swordExample,,2023-03-26,,,.4,3,1.20,8000,github.com/w3f/Grants-Program/blob/master/applications/DistributedKeyManagement.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
DistrubutedKeyManagement,DistrubutedKeyManagement,https://github.com/KryptikApp/sword,,2022-12-09,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
DKSAP,DKSAP,https://github.com/GreenLemonProtocol/dksap-polkadot,,2022-07-17,,,1,,,10000,github.com/w3f/Grants-Program/blob/master/applications/DKSAP.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
dora-factory-multisig,dora-factory-multisig,https://github.com/DoraFactory/dorafactory-multisig,,2022-03-28,,,2,1,2.00,10000,github.com/w3f/Grants-Program/blob/master/applications/dora-factory-multisig.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Doter,Doter,https://github.com/ChainBridgeNetworkTeam/Doter,,2021-07-15,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
dotflow,dotflow,https://github.com/TheDotflow/dotflow-ink,,2023-09-13,,,1.5,,,19000,github.com/w3f/Grants-Program/blob/master/applications/Dotflow.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
dot-login,dot-login,https://github.com/singkeo/dot-login,,2024-07-23,,,3,6,18.00,17000,github.com/w3f/Grants-Program/blob/master/applications/dot-login.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
dotly,dotly,https://github.com/justmert/dotly-backend,,2023-09-28,,,1,2,2.00,10000,github.com/w3f/Grants-Program/blob/master/applications/dotly.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
dot_marketplace,dot_marketplace,https://github.com/WowLabz/dot_marketplace_docker,,2021-12-03,,,5.9125,2,11.82,18920,github.com/w3f/Grants-Program/blob/master/applications/dot_marketplace.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
dot_marketplace-Phase3,dot_marketplace-Phase3,https://github.com/WowLabz/dot-marketplace-v2,,2023-01-06,,,2.39,2.0,4.78,29925,github.com/w3f/Grants-Program/blob/master/applications/dot_marketplace-Phase3.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
dot_marketplace_v2,dot_marketplace_v2,https://github.com/WowLabz/dot-marketplace-v2,,2022-05-11,,,2.39,2.0,4.78,29925,github.com/w3f/Grants-Program/blob/master/applications/dot_marketplace-Phase3.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
dotmog,dotmog,https://github.com/dotmog/SubstrateNetApi,,2021-05-02,,,1,2,2.00,3,github.com/w3f/Grants-Program/blob/master/applications/dotmog.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
dotnix,dotnix,https://github.com/sporyon/dotnix-core,,2024-08-08,,,2,,,30000,github.com/w3f/Grants-Program/blob/master/applications/dotnix-follow-up.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
dotnix_followup,dotnix_followup,https://github.com/sporyon/dotnix-core,88d566372d584b699bb92b45862a8191ff7fe4de,2026-03-11,,,2,,,30000,github.com/w3f/Grants-Program/blob/master/applications/dotnix-follow-up.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
DotPay,DotPay,https://github.com/bytepayment/bytepay,,2022-03-11,,,5,,,30000,github.com/w3f/Grants-Program/blob/master/applications/DotPay.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
dotpulse,dotpulse,https://github.com/CrossChainLabs-DOT/dotpulse-api,,2022-12-13,,,3,,,42000,github.com/w3f/Grants-Program/blob/master/applications/DotPulse.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
eiger-PNS,eiger-PNS,https://github.com/eigerco/polkadot-native-storage,,2023-10-23,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
eightfish,eightfish,https://github.com/eightfish-org/eightfish,,2023-05-11,,,2,2,4.00,15000,github.com/w3f/Grants-Program/blob/master/applications/eightfish.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ElasticLabs_PolakdotAgentKit,ElasticLabs_PolakdotAgentKit,https://github.com/elasticlabs-org/polkadot-agent-kit,edb75aaf1d2d1f999b62425642bd39b3d4b27203,2025-11-17,,,2,3,6.00,30000,github.com/w3f/Grants-Program/blob/master/applications/polkadot_agent_kit.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
eliza-plugin-dot,eliza-plugin-dot,https://github.com/ChainSupport/eliza-plugin-dot,,2025-11-08,,,1.5,1,1.50,10000,github.com/w3f/Grants-Program/blob/master/applications/eliza-plugin-dot.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ElizaPolkadotPlugin,ElizaPolkadotPlugin,https://github.com/elizaOS/eliza,,2025-07-19,,,1.5,1,1.50,10000,github.com/w3f/Grants-Program/blob/master/applications/eliza-plugin-dot.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
epirus_substrate_explorer,epirus_substrate_explorer,https://github.com/web3labs/epirus-substrate,,2022-08-05,,,2,3,6.00,75000,github.com/w3f/Grants-Program/blob/master/applications/epirus_substrate_phase_2.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
epirus_substrate_explorer-phase2,epirus_substrate_explorer-phase2,https://github.com/web3labs/epirus-substrate,,2022-12-08,,,2,3,6.00,75000,github.com/w3f/Grants-Program/blob/master/applications/epirus_substrate_phase_2.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
epirus_substrate-phase2,epirus_substrate-phase2,https://github.com/web3labs/epirus-substrate,,2023-02-10,,,2,3,6.00,75000,github.com/w3f/Grants-Program/blob/master/applications/epirus_substrate_phase_2.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
escrow,escrow,https://github.com/herou/EscrowPallet,,2022-10-14,,,,3,,,github.com/w3f/Grants-Program/blob/master/applications/decentralized_invoice.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Evanesco_Network,Evanesco_Network,https://github.com/Evanesco-Labs/WhiteNoise.rs,,2021-09-17,,,3,3,9.00,1,github.com/w3f/Grants-Program/blob/master/applications/evanesco_networks.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Faceless,Faceless,https://github.com/HeisenbergLin22/Faceless_milestone2_delivery,,2022-12-14,,,3,2,6.00,30000,github.com/w3f/Grants-Program/blob/master/applications/faceless.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
faceless_delivery,faceless_delivery,https://github.com/HeisenbergLin22/Faceless_milestone1,,2023-01-18,,,3,2,6.00,30000,github.com/w3f/Grants-Program/blob/master/applications/faceless.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
fair_squares,fair_squares,https://github.com/Fair-Squares/fair-squares,,2023-03-21,,,2,6,12.00,36720,github.com/w3f/Grants-Program/blob/master/applications/fair_squares.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
faterium,faterium,https://github.com/faterium/faterium-node,,2023-01-26,,,5,,,30000,github.com/w3f/Grants-Program/blob/master/applications/faterium.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Faucet,Faucet,https://github.com/karooolis/sybil-resistant-substrate-faucet,,2023-01-18,,,1,1,1.00,4000,github.com/w3f/Grants-Program/blob/master/applications/Faucet.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
faucet-bot,faucet-bot,https://github.com/StringNick/sybil-resistant-chat-bot-substrate-faucet,,2023-07-29,,,1.5,1.5,2.25,7500,github.com/w3f/Grants-Program/blob/master/applications/faucet-bot.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
fennel-protocol,fennel-protocol,https://github.com/fennelLabs/Fennel-Protocol,,2022-04-26,,,3,3,9.00,50000,github.com/w3f/Grants-Program/blob/master/applications/Fennel_Protocol.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
FIAT-on-off-ramp,FIAT-on-off-ramp,https://github.com/element36-io/ebics-java-service,,2023-05-08,,,1.5,6,9.00,,github.com/w3f/Grants-Program/blob/master/applications/hyperfridge.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
fidi-dotsight,fidi-dotsight,https://github.com/fidi-tech/dotsight,12280b45f5f1ddd855d6b91eaee4abbf1916f534,2024-04-05,,,3.5,,,17500,github.com/w3f/Grants-Program/blob/master/applications/fidi-dotsight-analytics.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
fractapp,fractapp,https://github.com/fractapp/fractapp,,2021-11-25,,,3.5,3,10.50,1,github.com/w3f/Grants-Program/blob/master/applications/fractapp.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
FuturProtocol,FuturProtocol,https://github.com/RELAI-Network/relai-network,,2024-04-05,,,1,,,7000,github.com/w3f/Grants-Program/blob/master/applications/FuturFusion.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Gafi,Gafi,https://github.com/cryptoviet/gafi,,2022-11-24,,,1.2,11.5,13.80,52700,github.com/w3f/Grants-Program/blob/master/applications/Gafi.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
galaxy,galaxy,https://github.com/7flash/galaxy-polkadot,f97d5e2e5eab3322782f72d3b469d11cbf7e94a9,2023-09-28,,,1,1,1.00,10000,github.com/w3f/Grants-Program/blob/master/applications/galaxy.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
GenesisDAO,GenesisDAO,https://github.com/deep-ink-ventures/genesis-dao-node,,2023-05-23,,,3,,,100000,github.com/w3f/Grants-Program/blob/master/applications/Stylograph.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
gluon,gluon,https://github.com/tearust/gluon-website,,2021-06-07,,,2.5,5,12.50,28,github.com/w3f/Grants-Program/blob/master/applications/Gluon_decentralized_hardware_crypto_wallet_services.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
grant_management_webapp,grant_management_webapp,https://github.com/antiers-solutions/gmw-frontend,,2023-08-09,,,3,,,10000,github.com/w3f/Grants-Program/blob/master/applications/Grant_management_webapp.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
grantmaster,grantmaster,https://github.com/Zaniyar/grantmaster,,2024-01-02,,,0.6,5,3.00,10000,github.com/w3f/Grants-Program/blob/master/applications/grantmaster.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
GreenLemon,GreenLemon,https://github.com/GreenLemonProtocol/dksap-polkadot,,2022-10-18,,,2,,,30000,github.com/w3f/Grants-Program/blob/master/applications/GreenLemon.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
halva_bootstrapping,halva_bootstrapping,https://github.com/halva-suite/halva,,2020-10-06,,,1.5,,,0,github.com/w3f/Grants-Program/blob/master/applications/halva_bootstrapping.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
halva-framework,halva-framework,https://github.com/halva-suite/halva,,2020-08-14,,,1.5,,,0,github.com/w3f/Grants-Program/blob/master/applications/halva_bootstrapping.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
hamster-millestone,hamster-millestone,https://github.com/hamster-shared/hamster,,2022-05-07,,,4,2,8.00,25600,github.com/w3f/Grants-Program/blob/master/applications/hamster.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
hex-space-social-graph,hex-space-social-graph,https://github.com/rust-0x0/hex-space-protocol-substrate,9123f9503f45a89958bef6c96eb308b82dd7f3a6,2022-07-12,,,1,1,1.00,3500,github.com/w3f/Grants-Program/blob/master/applications/hex.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
