project_id,project_name,repo_url,resolved_commit,commit_source,effort_since,effort_until,actual_duration_months,duration_plausible,ksloc_code,ksloc_code_raw,generated_loc_excluded,generated_files_n,ksloc_all,pm_mid,pm_low,pm_high,active_dev_days,total_commits,distinct_authors,effort_reliable,top_langs,planned_fte,planned_duration_months,planned_pm,cost_usd,status,error_msg,new_sloc,adapted_sloc,adapted_fraction,cm_observed,aam,equivalent_sloc
ArtZero_InkWhale,ArtZero_InkWhale,https://github.com/ArtZero-io/Contracts,fe205b8203987ac3bfcdde5d0f969f5ad49e5ace,cutoff,2022-03-05,2023-03-29,12.78,1,11.7520,20.0910,8339,35,87.4990,11.3684,4.4153,27.0,216,509,6,1,"{""JSON"": 75278, ""TypeScript"": 6386, ""Rust"": 5366, ""TOML"": 360, ""Markdown"": 109}",5,4,20.00,30000,OK,,11.752,0.0,0.0,0.0,0.0554,11.752
assemblyscript-scale-codec,assemblyscript-scale-codec,https://github.com/LimeChain/as-scale-codec,9d70bd6a2dcb8eca2afbe7d90ef2361771819eb3,cutoff,2020-05-04,2020-06-08,1.15,1,1.4000,1.4000,0,0,1.9030,1.6316,0.7041,6.0,31,95,3,1,"{""TypeScript"": 1381, ""JSON"": 338, ""Markdown"": 154, ""JavaScript"": 19, ""YAML"": 11}",,3.5,,12500,OK,,1.3931,0.0069,0.005,1.0,0.84,1.3989
Awesome-Polka,Awesome-Polka,https://github.com/tolgayayci/awesome-polka,a0a838df2470660d9d14050890366495781704d5,cutoff,2023-04-24,2023-04-24,0.0,0,0.0000,0.0000,0,0,0.0020,0.0,0.0,0.0,0,0,0,0,"{""Markdown"": 2}",1,,,10000,OK,,,,,,,
BandersnatchVRF,BandersnatchVRF,https://github.com/Esscrypt/bandersnatch-vrf,6a25211ad95c84d0b259bac7bc49d6f798d44d2b,cutoff,2025-12-18,2025-12-19,0.03,1,3.7160,3.7160,0,0,12.4660,0.0526,0.0225,1.0,1,3,1,0,"{""JSON"": 8624, ""TypeScript"": 3466, ""JavaScript"": 250, ""Markdown"": 81, ""YAML"": 45}",1,,,20000,OK,,0.0,3.716,1.0,0.7083,0.6358,2.3628
bit_country,bit_country,https://github.com/bit-country/Bit-Country-Blockchain,375aaf8a97aa5edd684fbc07697290575e1cb114,cutoff,2020-09-15,2021-12-06,14.68,1,21.9660,22.5050,692,9,25.0320,12.9474,5.0502,42.0,246,584,9,1,"{""Rust"": 21930, ""TOML"": 1761, ""JSON"": 1102, ""Markdown"": 102, ""make"": 54}",5,1,5.00,,OK,,21.966,0.0,0.0,0.0,0.0554,21.966
blackprint_js,blackprint_js,https://github.com/Blackprint/Blackprint,01e95e1cd41117b1b33db1c2fa83f8b2b5c58ee6,cutoff,2020-02-18,2022-08-29,30.32,0,4.0250,4.0250,0,0,11.9810,12.8421,5.2658,25.0,244,654,2,1,"{""YAML"": 7129, ""JavaScript"": 3966, ""Markdown"": 720, ""JSON"": 107, ""TypeScript"": 59}",1,,,9200,OK,,4.025,0.0,0.0,0.0,0.0554,4.025
bright_tresury,bright_tresury,https://github.com/bright/bright-tresury,689b6c08dde426701bbab2685043660dfa22518e,cutoff,2020-10-06,2021-12-29,14.75,1,47.6040,48.3080,704,2,63.9180,20.7895,8.5724,43.0,395,1010,8,1,"{""TypeScript"": 47127, ""JSON"": 14377, ""Markdown"": 849, ""SVG"": 483, ""JavaScript"": 208}",,,,,OK,,46.4659,1.1381,0.0239,0.995,0.8365,47.4179
calamar,calamar,https://github.com/topmonks/calamar,76954c810465eafaab7755d7c19308cc36726d17,commit,2022-06-20,2023-12-06,17.54,1,15.3320,15.3320,0,0,76.1200,8.3684,3.5269,30.0,159,466,7,1,"{""JSON"": 59223, ""TypeScript"": 15281, ""SVG"": 784, ""YAML"": 509, ""Text"": 172}",0.83,2,1.66,25000,OK,,14.881,0.451,0.0294,0.9893,0.8325,15.2565
candle_auction_ink,candle_auction_ink,https://github.com/agryaznov/candle-auction-ink,f6e3c53ac9dc622cb79052c9ba010bdc54d4bef9,cutoff,2021-10-19,2021-12-17,1.94,1,0.7060,0.7060,0,0,0.8620,1.5263,0.6304,4.0,29,70,2,1,"{""Rust"": 706, ""Markdown"": 122, ""TOML"": 34}",1,1,1.00,,OK,,0.706,0.0,0.0,0.0,0.0554,0.706
canyon_network_phrase,canyon_network_phrase,https://github.com/canyon-network/canyon,48e5f1da23da30f922d174a1975995eba64de21a,cutoff,2021-06-20,2021-08-19,1.97,1,5.2940,5.3640,174,3,6.3250,1.2105,0.4269,3.0,23,34,1,0,"{""Rust"": 5267, ""TOML"": 769, ""YAML"": 173, ""Dockerfile"": 36, ""JSON"": 32}",1,1.5,1.50,15000,OK,,1.6573,3.6367,0.687,0.9283,0.7898,4.5296
centrifuge-gsrpc-v2,centrifuge-gsrpc-v2,https://github.com/centrifuge/go-substrate-rpc-client,fa39166a1274125d7e5f676353dc6a438f4a77aa,cutoff,2019-06-06,2023-06-26,48.65,0,29.4620,30.6090,1237,9,29.6820,2.8947,0.7925,32.0,55,74,12,1,"{""Go"": 29404, ""YAML"": 100, ""Markdown"": 84, ""JavaScript"": 58, ""make"": 26}",1.5,,,75000,OK,,29.4314,0.0306,0.001,1.0,0.84,29.4571
Cere_Turnkey_Private_Blockchain_Network,Cere_Turnkey_Private_Blockchain_Network,https://github.com/Cerebellum-Network/private-standalone-network-node,1bb1a23e7643d487c2914f25fff54851cb409fe9,cutoff,2020-10-09,2021-01-16,3.25,1,1.1170,1.1170,0,0,4.1270,2.3158,0.8645,10.0,44,102,6,1,"{""JSON"": 2372, ""Rust"": 1093, ""Markdown"": 329, ""TOML"": 183, ""Dockerfile"": 72}",,,,1,OK,,0.129,0.988,0.8846,0.9957,0.837,0.9559
ces_data_store,ces_data_store,https://github.com/CESSProject/data-store-pallet,0a1934e58efe8a51a860ded4c80446e9ecc89745,cutoff,2022-03-31,2022-05-07,1.22,1,1.3200,1.3580,38,1,1.6080,0.3684,0.1153,4.0,7,17,2,1,"{""Rust"": 1320, ""TOML"": 180, ""Markdown"": 94, ""INI"": 14}",2,3,6.00,9000,OK,,0.0,1.32,1.0,0.5572,0.5156,0.6806
CESS,CESS,https://github.com/Cumulus2021/cess,ed90b22fbc5c088d444c074124225941d3d313f4,cutoff,2021-09-30,2022-01-15,3.52,1,5.6770,6.3150,638,4,7.2790,0.4737,0.175,6.0,9,23,4,1,"{""Rust"": 5677, ""TOML"": 787, ""Markdown"": 579, ""JSON"": 139, ""AsciiDoc"": 83}",2,4,8.00,8000,OK,,2.6384,3.0386,0.5352,1.0,0.84,5.1908
chainviz,chainviz,https://github.com/helikon-labs/chainviz,bb93ab1fbe003fcd7f690f94d7ffb8b7e9eec43c,cutoff,2023-07-16,2023-09-18,2.1,1,7.2230,7.2230,0,0,25.3030,1.9474,0.8259,3.0,37,104,1,0,"{""JSON"": 17968, ""TypeScript"": 7163, ""Markdown"": 64, ""JavaScript"": 59, ""YAML"": 35}",0.2,8,1.60,22000,OK,,5.5977,1.6253,0.225,1.0,0.84,6.963
choko-wallet,choko-wallet,https://github.com/choko-wallet/wallet-app,74d922808276d102869b1939bc6fee9eb52b47a7,cutoff,2022-07-12,2022-11-15,4.14,1,4.9720,5.5820,610,1,5.5190,5.3684,1.8323,13.0,102,176,4,1,"{""TypeScript"": 4499, ""JavaScript"": 473, ""SVG"": 244, ""JSON"": 133, ""CSS"": 111}",5,3,15.00,36000,OK,,4.972,0.0,0.0,0.0,0.0554,4.972
CILA-omnichain-infrastructure,CILA-omnichain-infrastructure,https://github.com/Collective-Intelligence-Labs/cila-substrate,e6b68cbf5c41a0c7b0d7e919a5c4d522051d7e0f,cutoff,2019-08-28,2023-08-14,47.54,0,1.9820,2.3200,338,3,3.2350,4.4737,1.201,60.0,85,106,31,1,"{""Rust"": 1944, ""Markdown"": 474, ""TOML"": 316, ""YAML"": 158, ""Text"": 150}",2,3,6.00,30000,OK,,1.982,0.0,0.0,0.0,0.0554,1.982
clover_january21,clover_january21,https://github.com/clover-network/clover,ebbe3721a4bfdea2a7b72f8316f4d4bd866491c0,cutoff,2020-09-01,2021-01-28,4.89,1,23.2420,24.2650,1023,11,28.3010,4.0526,1.5505,11.0,77,142,3,1,"{""Rust"": 23051, ""JSON"": 3079, ""TOML"": 1465, ""YAML"": 245, ""Markdown"": 198}",11.5,3,34.50,0,OK,,21.1967,2.0453,0.088,0.9949,0.8365,22.9075
Cogency,Cogency,https://github.com/CogencyWeb3/Web3MediaPilot,c772f551a4860d7b0063ba7f246d871265291c6f,cutoff,2022-09-22,2023-03-02,5.29,1,0.0000,0.0000,0,0,0.8320,0.0,0.0,0.0,0,0,0,0,"{""Markdown"": 832}",,,,,OK,,,,,,,
CoinFabrik_On_Ink_Integration_Tests,CoinFabrik_On_Ink_Integration_Tests,https://github.com/CoinFabrik/on-ink-integration-tests,93db4273b562803d2f68400d3dd84412cf1c583c,cutoff,2023-08-22,2023-12-06,3.48,1,2.5850,2.5850,36,1,4.1840,3.0526,1.2049,15.0,58,152,9,1,"{""Rust"": 2541, ""TOML"": 830, ""Markdown"": 710, ""YAML"": 51, ""Bourne Shell"": 31}",4,,,30000,OK,,2.5269,0.0581,0.0225,1.0,0.84,2.5757
Contract_wizard,Contract_wizard,https://github.com/protofire/polkadot-contract-wizard,75b2f69b43aff1bad92fa5c32b776e44d80f811f,cutoff,2023-01-10,2023-11-20,10.32,1,14.4160,14.4160,0,0,15.0940,5.1579,1.7224,25.0,98,159,6,1,"{""TypeScript"": 14036, ""Rust"": 327, ""YAML"": 234, ""JSON"": 178, ""Markdown"": 113}",2.5,3,7.50,52500,OK,,14.416,0.0,0.0,0.0,0.0554,14.416
CoongWallet,CoongWallet,https://github.com/CoongCrafts/coong-wallet,42cfa03b9014934462a9f8497435ca257ca56332,cutoff,2022-12-25,2023-06-15,5.65,1,10.1590,11.1410,982,8,11.1030,7.7368,3.3545,12.0,147,566,3,1,"{""TypeScript"": 10073, ""JSON"": 608, ""Markdown"": 191, ""SVG"": 85, ""JavaScript"": 83}",1.5,5,7.50,30000,OK,,9.8655,0.2935,0.0289,1.0,0.84,10.112
CosmWasmVM_CoreProduct,CosmWasmVM_CoreProduct,https://github.com/CosmWasm/cosmwasm,00746b5e21642a521d6bcdd2ddf22edcb8deda09,cutoff,2019-10-01,2023-09-13,47.4,0,46.7890,47.2500,3044,6,65.6190,39.6842,21.5949,131.0,754,3589,39,1,"{""Rust"": 46215, ""JSON"": 14406, ""Markdown"": 2688, ""YAML"": 1111, ""TOML"": 605}",1,,,29700,OK,,46.3286,0.4604,0.0098,1.0,0.84,46.7153
c++polkadot-light-client,c++polkadot-light-client,https://github.com/eqlabs/polkadot-light-client,cb3406098198c58f1a31a5ead11f5e5b31a82618,cutoff,2022-08-31,2022-09-26,0.85,1,0.3540,0.3540,0,0,0.6660,0.3684,0.182,3.0,7,15,3,1,"{""C++"": 208, ""Markdown"": 181, ""C/C++ Header"": 146, ""CMake"": 131}",1,,,34000,OK,,0.354,0.0,0.0,0.0,0.0554,0.354
create-substrate-app,create-substrate-app,https://github.com/philoniare/create-substrate-app,395ffec9891bf9fc15831bec3e25b8d38d20d676,cutoff,2024-03-03,2024-03-05,0.07,1,0.7900,0.7900,0,0,2.4650,0.1053,0.0536,1.0,2,15,1,0,"{""TypeScript"": 502, ""JSON"": 471, ""Markdown"": 382, ""JavaScript"": 288, ""HTML"": 269}",1,1,1.00,4550,OK,,0.199,0.591,0.7482,0.2334,0.2482,0.3457
crossbow,crossbow,https://github.com/dodorare/crossbow,7da4f92d7b1cc0ad2fbf6ed7f4765d8c473ac04e,commit,2020-09-01,2022-01-09,16.26,1,3.9130,3.9130,0,0,5.8900,9.4211,3.4347,36.0,179,323,6,1,"{""Rust"": 3913, ""Markdown"": 751, ""JSON"": 705, ""TOML"": 316, ""YAML"": 175}",3.5,5.0,17.50,40000,OK,,3.9051,0.0079,0.002,1.0,0.84,3.9117
cryptex,cryptex,https://github.com/ideal-lab5/smoldot,7bb3d7ed199b5eb71e3efdc613847122f85a05a1,cutoff,2020-02-20,2023-08-17,41.85,0,97.9130,99.2050,1423,3,188.8030,40.3158,23.797,80.0,766,3015,15,1,"{""Rust"": 95067, ""JSON"": 89513, ""TypeScript"": 2300, ""Markdown"": 630, ""JavaScript"": 531}",1.5,3,4.50,30000,OK,,97.913,0.0,0.0,0.0,0.0554,97.913
cryptolab-staking-reward-collector-front-end,cryptolab-staking-reward-collector-front-end,https://github.com/cryptolab-network/chain-data-collector,91b563d7670d9bd91af5c618378a20dd62728ba0,cutoff,2021-04-12,2021-06-29,2.56,1,1.9970,1.9970,0,0,3.2550,0.8947,0.4894,4.0,17,50,2,1,"{""TypeScript"": 1962, ""JSON"": 1225, ""JavaScript"": 35, ""Markdown"": 33}",,,,,OK,,1.997,0.0,0.0,0.0,0.0554,1.997
cScale,cScale,https://github.com/MatthewDarnell/cScale,58b2acb9db3af2b3e5108f9fdf111187ca00f39d,cutoff,2021-09-16,2021-11-09,1.77,1,3.7530,3.7530,0,0,4.3080,1.1053,0.492,5.0,21,54,3,1,"{""C"": 2459, ""C/C++ Header"": 1294, ""Markdown"": 530, ""make"": 25}",,3.5,,12500,OK,,2.0297,1.7233,0.4592,1.0,0.84,3.4773
curve_amm,curve_amm,https://github.com/equilibrium-eosdt/equilibrium-curve-amm,5c726482e5468136fc6e10d2f9e40bde84d5af3b,cutoff,2021-02-25,2021-05-20,2.76,1,4.5190,4.5190,0,0,5.6700,1.5789,0.6917,4.0,30,81,1,0,"{""Rust"": 4403, ""HTML"": 618, ""Markdown"": 306, ""TOML"": 201, ""JavaScript"": 108}",3,,,30000,OK,,0.1072,4.4118,0.9763,1.0,0.84,3.8131
cyborg,cyborg,https://github.com/Cyborg-Network/cyborg-parachain,9685a55711b2e1ec63fdbc6603965e7b3784f8d6,commit,2024-07-01,2024-07-13,0.39,1,3.0200,3.0930,188,4,3.7760,0.5789,0.2042,1.0,11,17,1,0,"{""Rust"": 3020, ""TOML"": 440, ""Markdown"": 262, ""YAML"": 36, ""Dockerfile"": 18}",2,2,4.00,10000,OK,,1.0251,1.9949,0.6606,0.2637,0.2732,1.5701
cyclops,cyclops,https://github.com/ArthurHoeke/cyclops,2cf70dd4370e501abc47209cd53a602aaaef4559,cutoff,2023-02-20,2023-04-14,1.74,1,3.4910,3.4910,0,0,29.8780,0.0,0.0,0.0,0,0,0,0,"{""JSON"": 24518, ""TypeScript"": 1782, ""JavaScript"": 1709, ""SCSS"": 873, ""HTML"": 805}",1,3,3.00,26000,OK,,2.909,0.582,0.1667,0.9933,0.8353,3.3952
da_comparative_study,da_comparative_study,https://github.com/Chainscore/DA-Research,05d50fa309b98f0a8d50b80008687b972f57ec7c,cutoff,2025-08-05,2025-10-15,2.33,1,1.6130,1.6130,0,0,5.4450,1.1053,0.458,4.0,21,43,2,1,"{""JSON"": 2380, ""Python"": 851, ""TeX"": 659, ""TypeScript"": 567, ""Markdown"": 361}",2,4,8.00,,OK,,1.613,0.0,0.0,0.0,0.0554,1.613
Dante_Network,Dante_Network,https://github.com/dantenetwork/protocol-stack-for-ink,34cc24b32bcef99a3dccb7e0b349b21401551642,cutoff,2022-04-22,2022-11-02,6.37,1,1.2460,1.2460,0,0,3.0170,3.0,1.2781,11.0,57,112,3,1,"{""JSON"": 1545, ""Rust"": 1056, ""JavaScript"": 183, ""TOML"": 123, ""Markdown"": 103}",3,6,18.00,30000,OK,,1.246,0.0,0.0,0.0,0.0554,1.246
dao-entrance-phase,dao-entrance-phase,https://github.com/dao-entrance/dao-entrance-node,,,,,,,,,,,,,,,,,,,,1,4,4.00,6000,ERROR,"git clone failed: fatal: could not read Username for 'https://github.com': No such device or address
",,,,,,
daos,daos,https://github.com/daos-org/daos,6aceca275d8dd1a2b2c7ae9ac42c7048a4f78bf9,cutoff,2022-06-09,2022-11-29,5.68,1,3.9900,4.4390,449,6,4.5940,2.2632,0.9322,7.0,43,104,2,1,"{""Rust"": 3990, ""TOML"": 334, ""Markdown"": 270}",6,2,12.00,8,OK,,3.2015,0.7885,0.1976,0.9955,0.8369,3.8614
DAOsign,DAOsign,https://github.com/DAOsign/polkadot-smart-contracts,862aa66d485e0da34ae9fbbb0c91963ab97dcb2e,cutoff,2023-10-06,2024-03-28,5.72,1,1.7060,1.7060,4132,26,18.9210,0.8421,0.262,5.0,16,28,4,1,"{""JSON"": 11934, ""HTML"": 4229, ""Rust"": 1139, ""Text"": 459, ""TypeScript"": 349}",2,2,4.00,48100,OK,,1.706,0.0,0.0,0.0,0.0554,1.706
dapp_wallet_integration_native_mobile_libraries,dapp_wallet_integration_native_mobile_libraries,https://github.com/tesseract-one/Tesseract.android,c8ab6953240d8cb004a9293ee94222ff13bd0557,cutoff,2022-07-19,2023-12-23,17.15,1,4.9460,4.9460,0,0,6.7130,3.2105,1.2249,14.0,61,179,2,1,"{""Rust"": 3373, ""Kotlin"": 1573, ""Gradle"": 765, ""XML"": 671, ""TOML"": 248}",2,,,,OK,,4.946,0.0,0.0,0.0,0.0554,4.946
dart-scale-codec,dart-scale-codec,https://github.com/nbltrust/dart-scale-codec,22e062dfda1f0d49aab4e826d708bcf0949fc72e,cutoff,2020-09-16,2020-11-17,2.04,1,1.9120,1.9120,0,0,2.0670,0.4211,0.1353,3.0,8,13,1,0,"{""Dart"": 1912, ""Markdown"": 98, ""YAML"": 57}",5.3,5,26.50,1,OK,,,,,,,
Datagen_Project,Datagen_Project,https://github.com/Datagen-Project/Datagen-Substrate-Grant,30fac49626bf290b9e7878a25b69d2dca2d5ce7d,cutoff,2022-08-22,2022-10-20,1.94,1,3.5820,3.5820,0,0,4.5810,1.3684,0.5424,3.0,26,103,1,0,"{""Rust"": 3538, ""Markdown"": 390, ""TOML"": 390, ""YAML"": 129, ""JSON"": 62}",2,5,10.00,44000,OK,,3.582,0.0,0.0,0.0,0.0554,3.582
data_platform_with_deep_indexed_data_and_staking_reports,data_platform_with_deep_indexed_data_and_staking_reports,https://github.com/p2p-org/polkadot-grant,c22cab7f8356b9220c86cea95433beba1a309979,cutoff,2023-10-24,2023-10-24,0.0,0,0.0000,0.0000,659,2,22.9040,0.0,0.0,0.0,0,0,0,0,"{""YAML"": 20277, ""HCL"": 1660, ""SQL"": 849, ""Markdown"": 80, ""Text"": 32}",200,1.5,300.00,20000,OK,,,,,,,
datdot,datdot,https://github.com/playproject-io/datdot-service,791b8d5fdd31a36cec809b57a67d42db68e0ac89,cutoff,2019-12-25,2021-11-18,22.8,1,1.3350,1.3350,0,0,1.4060,10.7895,3.2336,35.0,205,277,5,1,"{""JavaScript"": 1335, ""JSON"": 46, ""Markdown"": 25}",4,,,42880,OK,,1.335,0.0,0.0,0.0,0.0554,1.335
dauth_network,dauth_network,https://github.com/DAuth-Network/instant-proof,487d89776842ad737b0c06af9c55ad6732518394,cutoff,2023-04-06,2024-01-17,9.4,1,4.3760,4.3760,0,0,4.8660,3.7895,1.3909,16.0,72,169,3,1,"{""Rust"": 4166, ""TOML"": 210, ""make"": 126, ""Python"": 117, ""Bourne Shell"": 93}",3,8,24.00,27000,OK,,4.376,0.0,0.0,0.0,0.0554,4.376
Decentralised_Security_Marketplace,Decentralised_Security_Marketplace,https://github.com/ParthChaudhary31/Security_Marketplace_Smartcontract,b32d3aba5d47220cdfb0b1393a72d820a09f5b70,cutoff,2023-07-28,2023-08-28,1.02,1,1.3580,1.3580,0,0,1.4710,0.2632,0.0661,1.0,5,7,1,0,"{""Rust"": 1358, ""TOML"": 66, ""Markdown"": 27, ""Text"": 20}",4,,,29920,OK,,0.5151,0.8429,0.6207,1.0,0.84,1.2231
Decentralized_Threshold_Signing_Service,Decentralized_Threshold_Signing_Service,https://github.com/Fiono11/decentralized_threshold_signing_service,8f735e2365364c0d2fd253c3127f755dc1d09ac1,cutoff,2025-10-11,2025-10-30,0.62,1,1.7100,1.7100,0,0,10.7960,0.3158,0.1529,1.0,6,18,1,0,"{""JSON"": 8545, ""JavaScript"": 1710, ""HTML"": 224, ""Markdown"": 182, ""Dockerfile"": 71}",1,3,3.00,30000,OK,,0.0,1.71,1.0,0.9664,0.8165,1.3962
decentralml,decentralml,https://github.com/livetreetech/DecentralML,5996cd0dd3d26e63831b57b83975fb9d7b252721,cutoff,2023-06-21,2023-12-19,5.95,1,3.2930,3.3250,32,1,4.5060,1.5263,0.5722,6.0,29,104,4,1,"{""Rust"": 2385, ""Python"": 821, ""Markdown"": 477, ""TOML"": 333, ""YAML"": 245}",2.5,2,5.00,30000,OK,,3.293,0.0,0.0,0.0,0.0554,3.293
deeper_network,deeper_network,https://github.com/deeper-chain/deeper-chain,e3bdb757529f4a52e1169d71659f19b8a1b66016,cutoff,2020-10-26,2023-01-12,26.54,0,34.3940,35.6250,1336,10,54.6500,15.1053,4.6231,80.0,287,384,16,1,"{""Rust"": 32630, ""JSON"": 18246, ""JavaScript"": 1715, ""TOML"": 1349, ""Markdown"": 510}",5,1,5.00,20000,OK,,22.3558,12.0382,0.35,1.0,0.84,32.4679
deip,deip,https://github.com/DEIPworld/deip-polkadot,,,,,,,,,,,,,,,,,,,,4.5,2,9.00,1,ERROR,"git clone failed: fatal: could not read Username for 'https://github.com': No such device or address
",,,,,,
Deitos_Network,Deitos_Network,https://github.com/Deitos-Network/deitos-ip,39488fdc2fc831d63dceb5eebcd6165247d5ae6b,cutoff,2023-10-04,2024-01-11,3.25,1,0.2850,0.2850,0,0,1.9090,0.7895,0.2428,5.0,15,21,2,1,"{""XML"": 821, ""YAML"": 329, ""Dockerfile"": 281, ""Bourne Shell"": 260, ""Markdown"": 129}",3,,,30,OK,,0.285,0.0,0.0,0.0,0.0554,0.285
delightfuldot,delightfuldot,https://github.com/CoongCrafts/delightfuldot,ab05612c309404477573a96dc2d45c2d46f0bab4,cutoff,2023-10-07,2024-03-21,5.45,1,10.6170,11.2070,590,1,12.1900,6.2632,2.6707,11.0,119,471,2,1,"{""TypeScript"": 10474, ""JSON"": 897, ""Markdown"": 430, ""JavaScript"": 143, ""CSS"": 98}",2,4.5,9.00,30000,OK,,10.5295,0.0875,0.0082,1.0,0.84,10.603
delmonicos,delmonicos,https://github.com/Delmonicos/charger-node,f6b8ba673f6551b383b9a5b76c1e3cca5e5058f5,cutoff,2021-03-05,2021-08-03,4.96,1,3.5290,3.5290,0,0,4.3320,2.3684,0.8595,10.0,45,81,2,1,"{""Rust"": 3506, ""TOML"": 411, ""Markdown"": 273, ""Dockerfile"": 56, ""YAML"": 29}",1,3,3.00,29,OK,,1.4638,2.0652,0.5852,0.9964,0.8375,3.1934
